video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/9qW4aXMLrNs,/@food52,Food52,How to Make Bubble Tea (Boba) At Home #Shorts,788K,2 years,PREP TIME: 45 minutes COOK TIME: 45 minutes SERVES: 4 INGREDIENTS Milk tea base 6 cups milk 2 tablespoons loose black ...,2024-01-24 23:23:12.160131
/watch?v=1EtE0BdMYqs&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@babishculinaryuniverse,Babish Culinary Universe,Boba Milk Tea from Great Pretender | Anime with Alvin,866K,10 months,Follow Alvin Zhou on Instagram: https://www.instagram.com/alvin.zhou/ Reference video: ...,2024-01-24 23:23:12.162331
/watch?v=Hzy8f3RsIlg&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@leahwantsboba,Leah Ashley,Trying NEW Boba Milk Tea From Jack In The Box,10K,2 days,"Don't forget to SUBSCRIBE if you are enjoying the videos! Push that like button and leave a comment, I LOVE reading all the ...",2024-01-24 23:23:12.164187
/shorts/Jp_bGUeIADk,/@NickDiGiovanni,Nick DiGiovanni,Oreo Boba,5.7M,2 years,shorts #oreo #boba #milktea #tapioca #cooking #food #oreobobarecipe.,2024-01-24 23:23:12.169674
/watch?v=E_KKogWlndw&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@JoshuaWeissman,Joshua Weissman,Perfect Boba Tea Completely from Scratch (2 Ways),5.3M,2 years,"We aren't just making the flavored milk tea... When I say homemade, I mean everything. From the fresh brewed milk tea all the way ...",2024-01-24 23:23:12.174159
/shorts/ocMYLIDBs3U,/@NickDiGiovanni,Nick DiGiovanni,Water Boba,21M,2 years,shorts #boba #water #milktea.,2024-01-24 23:23:12.178026
/shorts/ZVfDtMZs5pI,/@feedmeimei,feed meimei,Trying to make JIGGLY Boba Milk Tea Pudding,10M,2 years,SOCIALS » Instagram - @feedmeimei » TikTok - @feedmeimei » Facebook - Feed Meimei » Twitter - @feedmeimei If you'd ...,2024-01-24 23:23:12.183463
/shorts/wj_RWefmjg0,/@Bento_Club,Bento Club,How to Make Milk Tea,1.8M,6 months,shorts #boba #milktea.,2024-01-24 23:23:12.187910
/watch?v=Zn3QaOcimrw&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@feedmeimei,feed meimei,3 QUICK & EASY BOBA RECIPES THAT YOU NEED TO TRY!,1.4M,3 years,"In today's video, I'm sharing 3 quick and easy boba recipes that you need to try! These are my favorite to whip up whenever I'm ...",2024-01-24 23:23:12.192216
/shorts/qDtL8fxpiwQ,/@feedmeimei,feed meimei,My FAVORITE & EASIEST Brown Sugar Boba Recipe 🧋,3.3M,4 months,"Add it to some brown sugar syrup, ice and milk, or a milk tea of your choice! Brown Sugar Alternative: https://amzn.to/44o5RU2 ...",2024-01-24 23:23:12.197918
/watch?v=uOJQbqwsfLg&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@buzzfeedtasty,Tasty,I Made A Giant 100-Pound Boba Milk Tea • Tasty,11M,3 years,"Tasty Tasty The official YouTube channel of all things Tasty, the world's largest food network. From recipes, world-class talent, and ...",2024-01-24 23:23:12.202952
/shorts/8Ao9hVPt4PU,/@msshiandmrhe,Ms Shi and Mr He,Let's make brown sugar boba for bubble tea?🧋,4.2M,1 year,See recipe here: https://msshiandmrhe.com/brown-sugar-boba/,2024-01-24 23:23:12.205021
/shorts/u13E23PG2-0,/@Bento_Club,Bento Club,The Best Way to Drink Tapioca Milk Tea,3.4M,6 months,shorts #boba #milktea.,2024-01-24 23:23:12.208055
/shorts/NDj3dMxmhIE,/@Bento_Club,Bento Club,Tapioca Milk Tea from a VENDING MACHINE?!?,7.5M,1 year,"This Japanese vending machine sells a variety of unique drinks. Today, I tried their tapioca milk tea. Watch this video to see my ...",2024-01-24 23:23:12.211934
/watch?v=_bmppyU3TnA&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@PickUpLimes,Pick Up Limes,Easy homemade BUBBLE TEA (must-try BOBA)!🧋,1.5M,1 year,Get the Pick Up Limes app (1-week free trial!): https://bit.ly/PUL_app Sign-up for our newsletters: http://bit.ly/PUL_newsletters ...,2024-01-24 23:23:12.216696
/watch?v=3sy8-9f-198&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@HowToBasic,HowToBasic,How To Make Bubble Tea,5.6M,3 years,Today I show you how to make authentic homemade bubble tea. This bubble tea recipe is delicious! Bubble tea is a drink that ...,2024-01-24 23:23:12.222350
/shorts/jTEAtw7M538,/@NickDiGiovanni,Nick DiGiovanni,Strawberry Boba,16M,1 year,shorts #boba #strawberry #drink.,2024-01-24 23:23:12.226402
/watch?v=CUwAN1RNy_g&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@SimplyHomeCooked,Simply Home Cooked,🧋 EASY Brown Sugar Boba (Milk Tea),49K,9 months,"This Brown Sugar Boba is rich, sweet, and creamy. This favorite Asian milk drink is just as good as the ones sold at the store and a ...",2024-01-24 23:23:12.231610
/shorts/0zCv_6wTqlY,/@Bento_Club,Bento Club,Am I Drinking This Right?,7.3M,7 months,shorts #japan #boba.,2024-01-24 23:23:12.235814
/shorts/MqLJ9EsGhYw,/@NickDiGiovanni,Nick DiGiovanni,Thai Boba Milk Tea,11M,2 years,shorts #boba #tea #thai #icedtea #tapioca.,2024-01-24 23:23:24.038716
/watch?v=B_Q6N96aAvo&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@LydiaApril,Lydia April,How to Make Tiger Milk Boba Tea | Brown Sugar Boba Milk Tea Recipe,43K,1 year,How to Make TigerMilk Boba Tea There are many different ways to make TigerMilk Boba Tea and this is the way I make mine.,2024-01-24 23:23:24.053526
/shorts/n9olNRMHqJI,/@Hype_DWorld,Hype_DWorld,Are you trying these? #milktea #boba #bobamilktea #costco #costcofinds #costcobuys,277,3 hours,Costco sells jway Boba milk tea you get a pack of 10 for $14.59 it comes with tarot passion fruit pineapple classic mil tea and ...,2024-01-24 23:23:24.058751
/shorts/wkrZrHYRYZo,/@travelcindy,Travel Cindy,Shake 17 times??!! Sunright Tea Studio,No,7 hours,Grand Opening Review for Sunright Tea Studio in Southwest Las Vegas on Rainbow Blvd! Hey tea lovers! Today marked the ...,2024-01-24 23:23:24.061390
/shorts/EOi8N-mABkk,/@AidaVanCook,Aida VanCook,Bubble Tea At Home -  Try This Instant Boba Milk Tea At Home #shorts #tea #trending #foodie #recipe,2.5K,17 hours,"In this video I tried j basket instant boba tea kit. There are different flavours of them, and the one I made in the video is TARO ...",2024-01-24 23:23:24.083711
/shorts/tnf2_QzhMHY,/@catherineszabo,Catherine Szabo,YOU SHOULD NEVER DRINK BUBBLE TEA,2.3M,2 years,shorts.,2024-01-24 23:23:24.088390
/watch?v=DF-bgn4ysNU&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@SoonFilms,Soon Films 순필름,Taiwanese Brown Sugar Bubble Milk Tea - Taiwan street food,10M,4 years,"Soon Films is a food channel that introduces delicious street food. So far, Introducing delicious street food from Korea, Japan, ...",2024-01-24 23:23:24.097751
/watch?v=pjykSYFQMkc&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@SarapChannel,SarapChannel,How to make Milk Tea Recipe | Boba Milk Tea,4.8M,4 years,Milk Tea I Bubble Milk Tea Ingredients 2 Bags of Black Tea 2 Cup Hot Water (For the black tea) 1 cup Black Tapioca Pearl (sago) ...,2024-01-24 23:23:24.102026
/shorts/EKtVdItHKiI,/@feedmeimei,feed meimei,The EASIEST Boba Recipe you will ever try!! 🧋✨,11M,1 year,The EASIEST BOBA RECIPE you will ever try  ✨ #shorts #boba #recipe #bubbletea #easyrecipe #homecafe I've tried/made so ...,2024-01-24 23:23:24.115920
/shorts/nC4amamioSU,/@Bento_Club,Bento Club,How to Properly Drink Milk Tea,5.2M,6 months,shorts #japan #boba.,2024-01-24 23:23:24.119185
/shorts/tHKXNgYRi3s,/@msshiandmrhe,Ms Shi and Mr He,Have you ever tried to make bubble tea in an air fryer? 🧋,784K,1 year,The brown sugar boba recipe and the air fryer milk tea recipe are here: https://msshiandmrhe.com/brown-sugar-boba/,2024-01-24 23:23:24.130175
/shorts/_idJ4wkV7Mw,/@feedmeimei,feed meimei,Making Blue Boba Pearls From Scratch 💙,8.5M,1 year,Making Blue Boba Pearls From Scratch #shorts #boba #bubbletea #homecafe #tapioca #bobatea INGREDIENTS   Butterfly ...,2024-01-24 23:23:24.133200
/shorts/JSMOhpus1mY,/@ChrisForThought,Chris Wang,how CHINESE people ACTUALLY drink bubble tea,49M,1 year,#Shorts.,2024-01-24 23:23:24.135799
/watch?v=9JA6NeA2YBU&pp=ygUNYm9iYSBtaWxrIHRlYQ%3D%3D,/@MyLockDownRasoi,My Lockdown Rasoi,How to Make BUBBLE TEA and Tapioca Pearls [Recipe] at Home,151K,2 years,Tapioca Pearls & Bubble Tea Recipe | Making Tapioca Pearls/Boba at home using tapioca flour & brown suger. This unique ...,2024-01-24 23:23:24.143549
